videoId,start (M:S),end (M:S),duration_sec,tempo_bpm,mfcc_mean,tonnetz_mean,silence_ratio
NZyk1NGs248,0:23,0:26,3.0,117.19,"[-455.0567626953125, 153.23052978515625, 31.956663131713867, 19.33293342590332, 47.34951400756836, -18.112462997436523, 27.176048278808594, 1.2561936378479004, 15.634416580200195, -4.208667755126953, 10.20895004272461, -9.419506072998047, 6.67367696762085]","[0.0780764668129269, 0.07042426124810368, 0.09912292577895343, 0.014995454347379339, 0.049808322631097586, 0.044102798271874674]",0.3641
NZyk1NGs248,1:41,1:43,2.0,137.2,"[-450.3536682128906, 150.36561584472656, 7.379055500030518, 22.48377227783203, 42.83586120605469, -29.652507781982422, 28.635391235351562, 9.927956581115723, 12.545599937438965, 6.029965877532959, 10.565109252929688, -1.1187107563018799, 0.04527461156249046]","[-0.004108140024012582, 0.006232375888781506, -0.018062854368992975, -0.015121851027250138, -0.002890473804695238, -0.0053156466493283205]",0.3138
NZyk1NGs248,2:24,2:36,12.0,130.81,"[-421.169189453125, 134.48471069335938, 7.128010272979736, 16.26266860961914, 38.762718200683594, -18.587047576904297, 21.477052688598633, 9.717070579528809, 8.858278274536133, 3.1355018615722656, 9.760499000549316, -5.258791446685791, -0.35158541798591614]","[-0.0017664021748938843, -0.01337090200632579, 0.04061366119581303, 0.0194018359679972, -0.01329373638387416, -0.009650383154081314]",0.2781
NZyk1NGs248,2:49,3:20,31.0,110.29,"[-491.3037109375, 116.40243530273438, 12.340949058532715, 22.816059112548828, 41.748077392578125, -8.267190933227539, 20.080533981323242, 11.428278923034668, 12.680184364318848, 6.178694248199463, 7.468543529510498, -1.3156765699386597, 3.5554282665252686]","[-0.0051028660190355814, 0.007554878954817143, -0.011746404369940271, -0.022845799087678326, 0.008485145534998984, -0.004893638084742063]",0.4695
NZyk1NGs248,3:38,3:43,5.0,133.93,"[-480.5366516113281, 147.53321838378906, 10.40965461730957, 30.75746726989746, 50.9981689453125, -15.825539588928223, 26.653244018554688, -0.0031454579439014196, 3.835754871368408, 4.882902145385742, 4.412666320800781, -5.293696403503418, 2.736398935317993]","[-0.012536258420846295, -0.006183739004752931, 0.004731310480859728, -0.007179472435599746, -0.0007101985179751209, 0.001773673960113019]",0.4574
NZyk1NGs248,5:13,5:19,6.0,130.81,"[-474.2570495605469, 140.4416046142578, 19.685508728027344, 30.24188232421875, 48.52827453613281, -14.99309253692627, 29.685529708862305, 7.738034725189209, 13.362500190734863, 5.596676349639893, 7.3667449951171875, -5.799479007720947, 4.837133884429932]","[0.07783180259644198, 0.07011062871005118, -0.08857216491061232, 0.06321985024932379, -0.010224652857000322, 0.05819635891556561]",0.4245
NZyk1NGs248,10:23,10:27,4.0,119.68,"[-419.6436767578125, 135.16754150390625, 3.8340861797332764, 11.558679580688477, 41.24651336669922, -24.900094985961914, 20.981712341308594, 5.443552494049072, 8.197832107543945, -5.014587879180908, 9.298667907714844, -3.9518821239471436, -1.6032322645187378]","[-0.010243673187156702, -0.01119909280505488, -0.007706637191679588, -0.027315249939395905, -0.0058876042309615115, 0.006452190571622126]",0.3076
NZyk1NGs248,11:24,11:40,16.0,130.81,"[-466.3558044433594, 118.9579086303711, 16.104251861572266, 28.944677352905273, 53.74169158935547, -10.114876747131348, 28.858844757080078, 10.756550788879395, 18.253313064575195, 8.582783699035645, 14.41733455657959, -0.8665187954902649, 7.202213764190674]","[-0.13080543810658157, -0.013906072593303046, -0.07073325573589931, 0.03236638325906144, -0.005197085911014479, -0.04098688509082189]",0.4195
NZyk1NGs248,12:18,12:28,10.0,122.28,"[-453.911376953125, 130.35716247558594, 23.248605728149414, 30.390539169311523, 47.63092041015625, -10.870362281799316, 26.042556762695312, 5.937856197357178, 9.62871265411377, 2.609907865524292, 8.8414888381958, -6.750147819519043, 3.7444379329681396]","[0.06330943999100348, 0.03644197652369566, -0.0039061188902846434, -0.08390109191761853, -0.016111354046961766, -0.020510115252590787]",0.4104
NZyk1NGs248,12:47,12:53,6.0,127.84,"[-453.57452392578125, 149.30389404296875, 9.83382511138916, 25.4686336517334, 62.092681884765625, -21.891494750976562, 35.44379806518555, 4.332773208618164, 17.137889862060547, 2.644850730895996, 8.648557662963867, -10.863080024719238, 1.933230996131897]","[-0.023352930342966025, 0.09701828018149733, -0.040976775767940045, 0.057112304724961205, -0.04527343814160957, -0.009619715669565413]",0.2433
